LOC,LOC_TOUCHED,AVC,ALA,ACSS,AGE,AOC,NFIX,FIX,WMC,DIT,CBO,RFC,LCOM,NF,ENTROPY,NSMELLS,NR,NAUTH,CHURN,MAX_CHURN,Bugginess
13,53,53.0,53.0,1516.0,15,15,1,1,5,2,5,2,1,1516,0.0,0,1,1,53,53,0
20,72,72.0,72.0,1516.0,15,15,1,1,3,1,13,6,3,1516,0.0,0,1,1,72,72,0
10,34,34.0,34.0,1516.0,15,15,1,1,2,3,1,0,0,1516,0.0,0,1,1,34,34,0
7,36,36.0,36.0,1516.0,15,15,1,1,5,1,2,0,10,1516,0.0,0,1,1,36,36,0
5,29,29.0,29.0,1516.0,15,15,1,1,1,2,1,0,0,1516,0.0,0,1,1,29,29,0
6,30,30.0,30.0,1516.0,15,15,1,1,1,2,1,0,0,1516,0.0,0,1,1,30,30,0
20,66,66.0,66.0,1516.0,15,15,1,1,3,3,9,0,0,1516,0.0,0,1,1,66,66,0
26,63,63.0,63.0,1516.0,15,15,1,1,5,2,7,11,1,1516,0.0,0,1,1,63,63,0
11,82,82.0,82.0,1516.0,15,15,1,1,7,2,5,10,0,1516,0.0,0,1,1,82,82,0
38,98,45.0,47.0,760.0,15,14,2,2,8,2,11,13,10,1516,0.2907,0,2,1,98,93,1
17,82,36.0,38.5,771.0,15,6,2,2,5,2,4,5,10,1516,0.7121,0,2,2,82,66,0
92,158,158.0,158.0,1516.0,15,15,1,1,20,2,7,17,0,1516,0.0,0,1,1,158,158,0
33,89,42.5,43.5,762.0,15,3,2,2,10,2,7,14,21,1516,0.2645,0,2,1,89,85,0
38,100,100.0,100.0,1516.0,15,15,1,1,12,2,8,16,28,1516,0.0,0,1,1,100,100,0
30,67,67.0,67.0,1516.0,15,15,1,1,7,1,6,13,1,1516,0.0,0,1,1,67,67,0
104,224,104.0,108.0,759.5,15,13,2,2,31,3,15,8,226,1516,0.5436,0,2,2,224,196,0
9,42,42.0,42.0,1516.0,15,15,1,1,1,2,6,3,0,1516,0.0,0,1,1,42,42,0
14,48,48.0,48.0,1516.0,15,15,1,1,3,2,6,4,1,1516,0.0,0,1,1,48,48,0
83,140,140.0,140.0,1516.0,15,15,1,1,21,3,3,8,44,1516,0.0,0,1,1,140,140,0
25,61,61.0,61.0,1516.0,15,15,1,1,6,2,7,8,1,1516,0.0,0,1,1,61,61,0
32,86,86.0,86.0,1516.0,15,15,1,1,14,2,10,10,28,1516,0.0,0,1,1,86,86,0
1,27,27.0,27.0,1516.0,15,15,1,1,0,1,0,0,0,1516,0.0,0,1,1,27,27,0
6,34,34.0,34.0,1516.0,15,15,1,1,4,1,2,0,6,1516,0.0,0,1,1,34,34,0
21,89,25.0,27.33,510.0,15,4,2,2,4,2,12,4,0,1516,0.6862,0,3,2,89,75,0
15,56,56.0,56.0,1516.0,15,15,1,1,4,2,7,7,6,1516,0.0,0,1,1,56,56,0
7,37,37.0,37.0,1516.0,15,15,1,1,5,1,3,0,10,1516,0.0,0,1,1,37,37,0
10,45,45.0,45.0,1516.0,15,15,1,1,8,1,7,0,28,1516,0.0,0,1,1,45,45,0
1,28,28.0,28.0,1516.0,15,15,1,1,0,1,0,0,0,1516,0.0,0,1,1,28,28,0
37,101,101.0,101.0,1516.0,15,15,1,1,8,2,12,18,10,1516,0.0,0,1,1,101,101,0
1,29,29.0,29.0,1516.0,15,15,1,1,0,1,0,0,0,1516,0.0,0,1,1,29,29,0
7,36,36.0,36.0,1516.0,15,15,1,1,5,1,2,0,10,1516,0.0,0,1,1,36,36,0
12,45,45.0,45.0,1516.0,15,15,1,1,3,2,1,0,1,1516,0.0,0,1,1,45,45,1
32,82,82.0,82.0,1516.0,15,15,1,1,9,1,9,23,0,1516,0.0,0,1,1,82,82,0
1,27,27.0,27.0,1516.0,15,15,1,1,0,1,0,0,0,1516,0.0,0,1,1,27,27,0
4,28,28.0,28.0,1516.0,15,15,1,1,1,2,2,0,0,1516,0.0,0,1,1,28,28,0
49,135,60.5,64.0,759.5,15,0,2,2,14,2,13,25,36,1516,0.7069,0,2,1,135,109,1
5,28,28.0,28.0,1516.0,15,15,1,1,2,3,2,0,1,1516,0.0,0,1,1,28,28,0
9,37,37.0,37.0,1516.0,15,15,1,1,2,2,2,0,1,1516,0.0,0,1,1,37,37,0
