LOC,LOC_TOUCHED,AVC,ALA,ACSS,AGE,AOC,NFIX,FIX,WMC,DIT,CBO,RFC,LCOM,NF,ENTROPY,NSMELLS,NR,NAUTH,CHURN,MAX_CHURN,Bugginess
94,168,84.0,84.0,760.0,15,13,1,1,6,3,7,5,2,1516,0.1292,0,2,2,168,165,0
76,134,67.0,67.0,762.5,15,15,2,2,22,2,2,1,186,1516,0.383,0,2,2,134,124,0
65,154,76.0,76.5,762.5,15,13,2,2,19,4,13,6,137,1516,0.1,0,2,2,154,152,0
243,318,318.0,318.0,6.0,3,3,1,1,67,2,15,57,0,6,0.0,0,1,1,318,318,0
29,83,83.0,83.0,1516.0,15,15,1,1,8,2,16,7,0,1516,0.0,0,1,1,83,83,0
23,57,57.0,57.0,1516.0,15,15,1,1,8,2,1,0,3,1516,0.0,0,1,1,57,57,0
42,85,85.0,85.0,1516.0,15,15,1,1,14,2,1,1,35,1516,0.0,0,1,1,85,85,0
30,72,72.0,72.0,1516.0,15,15,1,1,7,2,10,14,1,1516,0.0,0,1,1,72,72,1
3,32,32.0,32.0,1516.0,15,15,1,1,0,3,4,0,0,1516,0.0,0,1,1,32,32,0
23,72,32.0,34.0,762.5,15,9,2,2,7,2,7,11,1,1516,0.6167,0,2,2,72,61,0
32,90,90.0,90.0,1516.0,15,15,1,1,7,4,15,10,4,1516,0.0,0,1,1,90,90,0
27,79,34.5,37.0,760.0,15,13,1,1,2,4,7,5,0,1516,0.6146,0,2,2,79,67,0
33,77,23.67,24.67,514.67,15,13,2,2,8,2,8,10,1,1516,0.4664,0,3,3,77,71,0
14,53,53.0,53.0,1516.0,15,15,1,1,12,1,5,0,66,1516,0.0,0,1,1,53,53,0
137,312,90.67,97.33,518.33,15,6,3,3,8,3,28,27,0,1516,0.683,0,3,2,312,271,0
38,84,84.0,84.0,1516.0,15,15,1,1,13,2,4,0,17,1516,0.0,0,1,1,84,84,0
361,995,94.78,102.67,173.78,15,3,7,7,96,1,41,130,139,1516,1.1321,0,9,3,995,818,1
44,78,78.0,78.0,1516.0,15,15,1,1,10,2,4,19,0,1516,0.0,0,1,1,78,78,0
81,184,184.0,184.0,1516.0,15,15,1,1,34,1,14,30,10,1516,0.0,0,1,1,184,184,0
103,177,177.0,177.0,1516.0,15,15,1,1,32,4,3,11,287,1516,0.0,0,1,1,177,177,0
51,115,115.0,115.0,1516.0,15,15,1,1,14,2,2,0,77,1516,0.0,0,1,1,115,115,0
8,42,42.0,42.0,1516.0,15,15,1,1,2,2,5,1,1,1516,0.0,0,1,1,42,42,0
437,856,856.0,856.0,1516.0,15,15,1,1,5,6,27,16,4,1516,0.0,0,1,1,856,856,0
43,93,93.0,93.0,1516.0,15,15,1,1,11,2,7,12,0,1516,0.0,0,1,1,93,93,0
105,214,63.33,67.33,511.33,15,1,3,3,23,2,14,26,78,1516,0.9619,0,3,2,214,164,0
164,334,334.0,334.0,1516.0,15,15,1,1,9,3,26,14,1,1516,0.0,0,1,1,334,334,0
258,627,105.4,115.4,305.6,15,2,3,3,36,2,25,34,15,1516,0.7407,0,5,3,627,553,0
42,155,47.0,49.33,509.33,15,0,3,3,7,1,10,19,4,1516,0.4676,0,3,1,155,142,1
41,96,96.0,96.0,1516.0,15,15,1,1,1,3,7,8,0,1516,0.0,0,1,1,96,96,0
68,140,140.0,140.0,1516.0,15,15,1,1,10,2,13,10,0,1516,0.0,0,1,1,140,140,0
191,357,357.0,357.0,1516.0,15,15,1,1,19,2,23,31,6,1516,0.0,0,1,1,357,357,0
28,78,78.0,78.0,1516.0,15,15,1,1,8,1,9,12,0,1516,0.0,0,1,1,78,78,0
17,49,49.0,49.0,1516.0,15,15,1,1,5,3,2,0,4,1516,0.0,0,1,1,49,49,0
52,143,69.5,70.5,762.5,15,13,2,2,14,3,12,2,77,1516,0.1841,0,2,2,143,139,0
84,141,69.5,70.0,4.0,13,13,1,1,5,4,5,3,0,5,0.0608,0,2,2,141,140,0
66,173,78.5,82.5,759.5,15,13,2,2,20,3,14,8,40,1516,0.5655,0,2,2,173,150,0
93,187,187.0,187.0,1516.0,15,15,1,1,2,2,12,9,1,1516,0.0,0,1,1,187,187,0
52,101,50.5,50.5,764.0,15,1,2,2,17,2,2,3,50,1516,0.865,0,2,2,101,72,0
27,78,36.0,37.5,762.5,15,13,2,2,7,4,9,2,6,1516,0.5159,0,2,2,78,69,0
145,345,45.83,51.67,258.83,15,1,6,6,43,1,26,67,19,1516,1.5927,0,6,4,345,236,1
69,155,69.5,73.5,759.5,15,13,2,2,20,3,14,9,40,1516,0.6058,0,2,2,155,132,0
24,74,74.0,74.0,1516.0,15,15,1,1,8,3,9,4,11,1516,0.0,0,1,1,74,74,0
83,164,164.0,164.0,1516.0,15,15,1,1,31,2,11,19,90,1516,0.0,0,1,1,164,164,0
122,202,202.0,202.0,1516.0,15,15,1,1,32,2,7,32,25,1516,0.0,0,1,1,202,202,0
70,138,138.0,138.0,1516.0,15,15,1,1,16,4,16,22,8,1516,0.0,0,1,1,138,138,0
14,69,30.5,32.5,762.5,15,4,1,1,2,1,9,4,1,1516,0.5176,0,2,1,69,61,0
24,64,64.0,64.0,1516.0,15,15,1,1,4,4,6,7,1,1516,0.0,0,1,1,64,64,0
86,185,55.0,58.33,512.33,15,1,3,3,21,1,14,37,11,1516,0.7438,0,3,2,185,157,0
9,32,32.0,32.0,1516.0,15,15,1,1,2,3,0,0,1,1516,0.0,0,1,1,32,32,0
4,44,17.0,19.5,771.0,15,6,2,2,0,1,3,1,0,1516,0.5108,0,2,2,44,39,0
4,36,36.0,36.0,1516.0,15,15,1,1,1,1,5,1,0,1516,0.0,0,1,1,36,36,0
174,345,100.33,107.67,509.0,15,13,3,3,14,4,26,29,6,1516,1.0086,0,3,3,345,239,0
168,341,103.67,108.67,507.33,15,1,3,3,7,3,16,8,0,1516,0.594,0,3,1,341,304,0
45,102,102.0,102.0,1516.0,15,15,1,1,8,1,6,22,0,1516,0.0,0,1,1,102,102,0
52,101,101.0,101.0,1516.0,15,15,1,1,9,1,7,17,0,1516,0.0,0,1,1,101,101,0
31,125,125.0,125.0,1516.0,15,15,1,1,8,2,3,0,20,1516,0.0,0,1,1,125,125,0
29,78,36.0,37.5,762.5,15,13,2,2,8,3,6,2,6,1516,0.5159,0,2,2,78,69,0
93,227,103.5,108.5,762.5,15,4,1,1,11,1,17,46,0,1516,0.4301,0,2,1,227,207,0
4,38,16.0,17.5,761.5,15,13,2,2,0,1,0,0,0,1516,0.8315,0,2,2,38,28,0
62,131,131.0,131.0,1516.0,15,15,1,1,17,1,17,36,1,1516,0.0,0,1,1,131,131,0
111,257,38.83,40.83,258.83,15,1,5,5,28,1,15,53,0,1516,0.6105,0,6,2,257,234,1
10,51,51.0,51.0,1516.0,15,15,1,1,2,3,0,0,0,1516,0.0,0,1,1,51,51,0
12,45,45.0,45.0,1516.0,15,15,1,1,1,4,4,3,0,1516,0.0,0,1,1,45,45,0
9,37,37.0,37.0,1516.0,15,15,1,1,2,1,0,0,0,1516,0.0,0,1,1,37,37,0
54,115,54.5,56.0,759.0,15,13,1,1,12,2,12,24,0,1516,0.2956,0,2,2,115,109,0
87,151,151.0,151.0,1516.0,15,15,1,1,26,1,7,12,120,1516,0.0,0,1,1,151,151,0
24,58,58.0,58.0,1516.0,15,15,1,1,7,2,4,2,19,1516,0.0,0,1,1,58,58,0
14,57,26.5,27.5,760.0,15,14,2,2,12,1,5,0,66,1516,0.4288,0,2,1,57,52,0
62,157,157.0,157.0,1516.0,15,15,1,1,16,2,14,3,94,1516,0.0,0,1,1,157,157,0
24,75,75.0,75.0,1516.0,15,15,1,1,12,2,6,11,1,1516,0.0,0,1,1,75,75,0
3,32,32.0,32.0,1516.0,15,15,1,1,1,1,1,0,0,1516,0.0,0,1,1,32,32,0
126,216,216.0,216.0,1516.0,15,15,1,1,58,2,7,40,66,1516,0.0,0,1,1,216,216,0
115,215,215.0,215.0,1516.0,15,15,1,1,30,2,12,17,205,1516,0.0,0,1,1,215,215,0
28,77,77.0,77.0,1516.0,15,15,1,1,5,1,8,8,0,1516,0.0,0,1,1,77,77,0
112,214,103.0,105.0,758.5,15,13,2,2,27,4,24,19,3,1516,0.3835,0,2,2,214,198,0
82,143,143.0,143.0,1516.0,15,15,1,1,32,3,3,6,153,1516,0.0,0,1,1,143,143,1
3,26,26.0,26.0,1516.0,15,15,1,1,1,1,1,0,0,1516,0.0,0,1,1,26,26,0
57,116,37.33,38.0,514.67,15,6,2,2,15,2,6,10,54,1516,0.7683,0,3,3,116,96,0
