Release,Class_Name,LOC,LOC_TOUCHED,AVC,ALA,ACSS,AGE,AOC,NFIX,FIX,WMC,DIT,CBO,RFC,LCOM,NF,ENTROPY,NSMELLS,NR,NAUTH,CHURN,MAX_CHURN,Bugginess
syncope-1.0.0-incubating,org.apache.syncope.core.scheduling.DefaultSyncJobActions,17,71,31.50,33.50,759.50,15,0,2,2,6,1,6,0,15,1516,0.4645,0,2,2,71,64,1
syncope-1.0.0-incubating,org.apache.syncope.core.scheduling.SyncResult,59,131,131.00,131.00,1516.00,15,15,1,1,18,1,5,7,48,1516,0.0000,1,1,1,131,131,0
syncope-1.0.0-incubating,org.apache.syncope.client.mod.AttributeMod,44,87,87.00,87.00,1516.00,15,15,1,1,12,2,2,3,6,1516,0.0000,0,1,1,87,87,0
syncope-1.0.0-incubating,org.apache.syncope.console.rest.UserRestClient,62,209,83.50,94.00,771.00,15,6,2,2,21,2,10,16,78,1516,0.8094,2,2,2,209,157,1
syncope-1.0.0-incubating,org.apache.syncope.console.pages.panels.ResourceDetailsPanel,101,253,117.50,122.00,759.50,15,2,2,2,5,3,22,26,1,1516,0.5693,9,2,2,253,219,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.dao.AttrValueDAO,7,36,36.00,36.00,1516.00,15,15,1,1,5,1,2,0,10,1516,0.0000,0,1,1,36,36,0
syncope-1.0.0-incubating,org.apache.syncope.core.propagation.PropagationHandler,3,40,40.00,40.00,1516.00,15,15,1,1,1,1,2,0,0,1516,0.0000,0,1,1,40,40,0
syncope-1.0.0-incubating,org.apache.syncope.console.commons.Constants,37,98,47.00,48.00,760.00,15,1,2,2,1,1,0,0,0,1516,0.1437,1,2,1,98,96,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.role.RAttrUniqueValue,27,78,36.00,37.50,762.50,15,13,2,2,7,4,9,2,6,1516,0.5159,1,2,2,78,69,0
syncope-1.0.0-incubating,org.apache.syncope.core.rest.controller.DerivedSchemaController,52,144,144.00,144.00,1516.00,15,15,1,1,9,2,15,15,0,1516,0.0000,2,1,1,144,144,0
syncope-1.0.0-incubating,org.apache.syncope.core.util.multiparent.MultiParentNodeOp,20,85,24.50,33.50,761.50,15,13,2,2,7,1,3,7,3,1516,0.9465,1,2,2,85,54,0
syncope-1.0.0-incubating,org.apache.syncope.client.validation.SyncopeClientCompositeErrorException,49,96,96.00,96.00,1516.00,15,15,1,1,15,2,5,15,8,1516,0.0000,1,1,1,96,96,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.NotificationTask,66,144,36.00,36.00,384.00,15,1,4,4,18,3,12,6,100,1516,0.7686,3,4,2,144,122,0
syncope-1.0.0-incubating,org.apache.syncope.client.to.NotificationTO,89,153,153.00,153.00,1516.00,15,15,1,1,27,2,4,3,260,1516,0.0000,1,1,1,153,153,0
syncope-1.0.0-incubating,org.apache.syncope.core.util.JexlUtil,99,213,213.00,213.00,1516.00,15,15,1,1,33,1,11,30,0,1516,0.0000,2,1,1,213,213,0
syncope-1.0.0-incubating,org.apache.syncope.client.to.ResourceTO,138,235,235.00,235.00,1516.00,15,15,1,1,37,2,5,2,586,1516,0.0000,2,1,1,235,235,0
syncope-1.0.0-incubating,org.apache.syncope.console.wicket.markup.html.form.AjaxDecoratedCheckbox,22,67,67.00,67.00,1516.00,15,15,1,1,3,2,4,1,3,1516,0.0000,0,1,1,67,67,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.SyncPolicy,10,40,40.00,40.00,1516.00,15,15,1,1,3,3,2,0,1,1516,0.0000,1,1,1,40,40,0
syncope-1.0.0-incubating,org.apache.syncope.types.AuditElements,30,244,244.00,244.00,1516.00,15,15,1,1,1,1,0,0,0,1516,0.0000,2,1,1,244,244,0
syncope-1.0.0-incubating,org.apache.syncope.core.report.ReportException,9,32,32.00,32.00,1516.00,15,15,1,1,2,3,0,0,1,1516,0.0000,0,1,1,32,32,0
